Word|Antonym1,Antonym2,Antonym3,Antonym4
agnostical|gnostic
agonist|antagonist
agree|disagree
agreeability|disagreeableness
agreeable|disagreeable
agreeableness|disagreeableness
agreeably|disagreeably,unpleasantly
agreement|disagreement
aground|afloat,sunken
time|late
ahead|back,backward
ahistorical|historical
aided|unassisted
aimlessness|purposefulness
mail|surface
air|land,sea
air-to-air|air-to-surface,surface-to-air
air-to-ground|air-to-air,surface-to-air
air-to-surface|air-to-air,surface-to-air
airworthy|unairworthy
alarming|unalarming
alas|fortunately,luckily
alcoholic|nonalcoholic
alert|unalert
alfresco|indoors,inside
algorithmic|heuristic
alien|citizen
alienable|inalienable
align|skew
aligned|nonaligned
alignment|nonalignment
alike|unalike
alikeness|dissimilitude,unlikeness
aline|skew
alinement|nonalignment
part|aliquot
aliquant|aliquot
part|aliquant
aliquot|aliquant
alive|unanimated,dead
aliveness|inanimateness
alkalic|acidic,amphoteric
alkalify|acidify
alkaline|acidic,amphoteric
alkaline-loving|acid-loving
alkalinity|acidity
alkalise|acidify
alkalize|acidify
all|no,some,partly
alliance|nonalignment
allochthonous|autochthonous
allogamy|autogamy
allogeneic|xenogeneic
allopathic|homeopathic
allopathy|homeopathy
allopatric|sympatric
allopatry|sympatry
in|reject
allow|deny,prevent,disallow,forbid
allowable|impermissible
allowably|impermissibly
ally|foe
aloud|softly
alphabetic|analphabetic
alphabetical|analphabetic
already|not
also-ran|winner
alterability|unalterability
alterable|unalterable
altered|unaltered
alternate|opposite
current|direct
alternating|direct
relievo|low
rilievo|low
altogether|partly
altricial|precocial
altruism|egoism
altruistic|egoistic
always|never
amateur|professional
amateurishly|expertly
ambidextrous|left-handed,right-handed
ambiguity|unambiguity,unequivocalness
ambiguous|unambiguous,unequivocal
ambiguously|unambiguously
ambitionless|ambitious
ambitious|unambitious
ambitiously|unambitiously
ambiversion|extraversion,introversion
ambiversive|extroversive,introversive
ameliorate|worsen
amend|worsen
amended|unamended
amenity|disagreeableness
ametabolic|metabolic
ametabolous|metabolic
ametropic|emmetropic
amiability|ill
amicable|hostile
amiss|perfectly
amoral|immoral,moral
amorally|morally
amphibious|aquatic,terrestrial
amphiprotic|acidic,alkaline
amphitropous|anatropous
amphoteric|acidic,alkaline
ample|meager
amplify|understate
amply|meagerly
amyotonia|tonicity
anabatic|katabatic
anabolic|catabolic
anabolism|catabolism
anaclinal|cataclinal
anadromous|catadromous,diadromous
anaerobic|aerobic
anaerobiotic|aerobic
anaesthetise|bring
anaesthetize|bring
retentive|oral
anal|oral
analog|digital
analogous|heterologous,homologous
analogue|digital
analogy|apophatism,cataphatism
analphabetic|alphabetic
analphabetism|literacy
analyse|synthesize
analysis|synthesis
thinking|synthesis
analytic|synthetic
analytical|synthetic
analyze|synthesize
analyzed|unanalyzed
anamorphism|katamorphism
anaphrodisia|aphrodisia
anaphrodisiac|aphrodisiac
reptile|diapsid
anapsid|diapsid
anastalsis|peristalsis
anastigmatic|astigmatic
anathemise|bless
anathemize|bless
anatropous|amphitropous
ancestor|descendant
androgynous|female,male
anemophilous|entomophilous
anesthetise|bring
anesthetize|bring
anestrous|estrous
anestrum|estrus
anestrus|estrus
anglican|Nonconformist
anglophilia|Anglophobia
anglophobia|Anglophilia
angry|unangry
angular|rounded
angularity|roundness
angulate|rounded
anhydrous|hydrous
animal|mineral,vegetable
animate|inanimate,insentient,deaden
animated|unanimated
animateness|inanimateness
anionic|cationic
anisotropic|isotropic
anisotropy|isotropy
annual|biennial,perennial
annul|validate
anodal|cathodic
anode|cathode
anodic|cathodic
anoestrum|estrus
anoestrus|estrus
anon.|onymous
anonymous|onymous
anorthic|monoclinic
anovulation|ovulation
answer|question
antagonist|agonist,synergist
antagonistic|conciliatory,synergistic
antapex|apex
up|default
antecede|postdate
antecedence|posteriority
antecedency|posteriority
antecedent|subsequent,descendant
antedate|postdate
antemeridian|postmeridian
antemortem|postmortem
antenatal|perinatal,postnatal
antenuptial|postnuptial
antepartum|perinatal,postnatal
anterior|posterior
anteriority|posteriority
anterograde|retrograde
anti|pro
anti-american|pro-American
anticatalyst|catalyst
anticholinergic|cholinergic
anticlimactic|climactic
anticlinal|synclinal
anticlockwise|clockwise
anticyclone|cyclone
antimagnetic|magnetic
antinode|node
antipyretic|pyretic
antiseptic|septic
antitype|type
antonym|antonym,synonym
antonymous|antonymous,synonymous
antonymy|antonymy
antrorse|retrorse
apace|slowly
aperiodic|periodic
apetalous|petalous
way|antapex
apex|antapex
aphelion|perihelion
aphrodisia|anaphrodisia
aphrodisiac|anaphrodisiac
aphrodisiacal|anaphrodisiac
aplacental|placental
apoapsis|periapsis,point
apocarpous|syncarpous
apocrine|eccrine
apogee|perigee
apojove|perijove
apologetic|unapologetic
apolune|perilune,periselene
apophatism|cataphatism,doctrine
aposelene|perilune,periselene
apparel|undress
appeal|repel
appealable|unappealable
appealing|unappealing,unsympathetic
appealingly|unappealingly
appear|disappear,disappear
appearance|disappearance
appendaged|unappendaged
appetising|unappetizing
appetisingness|unappetizingness
appetizing|unappetizing
appetizingness|unappetizingness
applaud|boo
applicability|inapplicability
applied|theoretical
apply|exempt,defy
appointed|elective
appointive|elective
apposable|unopposable
appositeness|inappositeness,inaptness
appreciate|depreciate
appreciation|depreciation
appreciatively|unappreciatively,ungratefully
apprise|depreciate
apprize|depreciate
approachability|unapproachability
approachable|unapproachable
approbate|reprobate
approbation|disapprobation
appropriate|inappropriate
appropriately|inappropriately,unsuitably
appropriateness|inappropriateness
approval|disapproval
approve|disapprove
approved|disapproved
approving|disapproval
approvingly|disapprovingly
apropos|malapropos
apteral|peripteral
aptitude|inaptitude
aptly|incompetently
aptness|inappositeness,inaptness
aquatic|amphibious,terrestrial
aqueous|igneous
numeral|Roman
arbitrable|nonarbitrable
arbitrary|nonarbitrary
arboreal|nonarboreal
arboreous|nonarboreal
arenaceous|argillaceous
argillaceous|arenaceous
argumentative|unargumentative
arianism|Athanasianism
aridity|fruitfulness
aright|incorrectly,wrongly
arise|go
arm|disarm
armament|disarmament,disarming
armed|armless,unarmed
arming|disarmament,disarming
armless|armed
armored|unarmored
armoured|unarmored
arouse|cause
arrange|disarrange
arranged|disarranged
arrive|leave
arrogate|forfeit
artefact|natural
artesian|subartesian
artful|artless,ingenuous
artfulness|artlessness
articulate|unarticulated,inarticulate
articulated|unarticulated
articulately|inarticulately,ineloquently,inarticulately
artifact|natural
language|natural
artificial|natural
artificially|naturally
mammal|odd-toed
artiodactyl|odd-toed
artless|artful,disingenuous
artlessness|artfulness
it|unfortunately,unluckily
ascend|descend,set
ascendant|descendant
ascendent|descendant
node|descending
ascending|descending
ascension|fall
ascent|descent,fall
asexual|sexual
ashamed|unashamed
ashamedly|unashamedly
ask|obviate
asking|declarative,declaratory
asleep|awake
asperity|dullness
assail|defend
assemblage|disassembly
assemble|disassemble
assembly|disassembly
assent|dissent
asserting|interrogative,interrogatory
assertive|unassertive
assertively|unassertively
asset|liability
assigned|unassigned
assimilate|dissimilate,dissimilate
assisted|unassisted
associate|dissociate
association|disassociation
associative|nonassociative
associatory|nonassociative
assoil|convict
mating|disassortative
assure|worry
astern|fore
astigmatic|anastigmatic
astigmatism|stigmatism
astigmia|stigmatism
astomatous|stomatous
astringent|nonastringent
asymmetric|symmetrical
asymmetrical|symmetrical
asymmetrically|symmetrically
asymmetry|symmetry
asynchronism|synchronism,synchronization,synchronizing
operation|synchronous
asynchronous|synchronous
asynchrony|synchronism,synchronization,synchronizing
asyndetic|syndetic
place|above
best|at
least|at
most|at
place|here
best|at
least|at
most|at
worst|at
worst|at
athanasianism|Arianism
atheism|theism
theory|holism
atomic|conventional
atomism|holism
theory|holism
theory|holism
atomistic|holistic
atomistical|holistic
atonal|tonal
atonalism|tonality
atonality|tonality
atonia|tonicity
atonic|tonic
atonicity|tonicity
atony|tonicity
atoxic|toxic
atrophied|hypertrophied
attach|detach
attachable|detachable
attached|unattached,detached,vagile
attack|defend
attaint|honor
to|neglect
attend|miss
attendance|nonattendance
attended|unaccompanied
attending|nonattendance,inattention
attention|inattention
attentive|inattentive,heedless
attentiveness|inattentiveness
attire|dress
attract|repel
attraction|repulsion
force|repulsion
attractive|unattractive,repulsive
attractively|unattractively
attractiveness|unattractiveness
attributable|unattributable
attributive|predicative
atypical|typical
atypicality|typicality
atypically|typically
audibility|inaudibility
audible|inaudible
audibleness|inaudibility
audibly|inaudibly
augmentation|diminution
aunt|uncle
auntie|uncle
aunty|uncle
aurora|sunset
auspicious|inauspicious
auspiciously|inauspiciously,unpropitiously
auspiciousness|inauspiciousness,unpropitiousness
authorised|unauthorized
authorized|unauthorized
autochthonous|allochthonous
autoecious|heteroecious
autogamic|endogamous,exogamous
autogamous|endogamous,exogamous
autogamy|allogamy
autogenic|heterogenous
autogenous|heterogenous
autologous|heterologous,homologous
automatic|manual
autophytic|heterotrophic
autotrophic|heterotrophic
equinox|vernal
autumnal|summery,vernal,wintry
availability|inaccessibility,unavailability
available|unavailable
availableness|inaccessibility,unavailability
avascular|vascular
avenged|unavenged
avertable|inevitable
avertible|inevitable
avirulent|virulent
avoid|confront,validate
avoidable|inevitable
avoirdupois|leanness
avouch|disavow
avow|disavow
awake|asleep,fall
awaken|cause
awakened|unawakened
aware|unaware,unmindful,unwitting
awareness|incognizance
game|home
away|home
awed|unawed
awestricken|unawed
awestruck|unawed
awful|nice
awkward|graceful
awkwardness|gracefulness
awned|awnless
awnless|awned
awny|awnless
azonal|zonal
out|keep
babble|keep
burner|front
end|front
up|unclog
back|front,advance,veer,forward,ahead,forward
backed|backless
background|foreground,play
backhand|forehand
backhanded|forehand
backless|backed
backside|front
backward|forward,ahead,forward
backwards|forward
condition|fitness
egg|good
guy|good
luck|good
person|good
weather|good
bad|good,good,goodness,unregretful
badly|advantageously,well,well
badness|good,goodness
balance|asymmetry,unbalance,imbalance
balanced|unbalanced
balconied|unbalconied
balefulness|beneficence
banded|unbanded
bank|withdraw,distrust,mistrust
baptised|unbaptized
baptized|unbaptized
bar|unbar
bare|sheathed,covered
barefacedly|ashamedly
barf|keep
barreled|unbarreled
barrelled|unbarreled
barrenness|fruitfulness
relief|high
basal|cauline
diamond|outfield
basic|incidental
basify|acidify
basipetal|acropetal
basiscopic|acroscopic
relievo|high
rilievo|high
active|rest
born|die
full|starve
quiet|open
sick|keep
well|suffer
be|differ
beachlike|cliffy
beachy|cliffy
beaked|beakless
beakless|beaked
away|bring
mind|forget
off|bring
on|discontinue
bear|bull
bearing|nonbearing
back|attract
beautiful|ugly
beautifully|unattractively
beautify|uglify
beauty|ugliness
becomingness|unbecomingness
bed|get
bedamn|bless
bedded|bedless,unstratified
bedless|bedded
up|weaken
befittingly|inappropriately,unsuitably
begetter|female
begin|end
beginning|end,middle,ending,finish
begrime|clean
begrudge|wish
behave|misbehave
being|nonbeing,nonexistence
beingness|nonbeing,nonexistence
belatedly|early
belief|unbelief
believability|incredibility
believable|incredible
believably|incredibly,unbelievably
believe|disbelieve
believingly|incredulously,unbelievingly
belittle|flatter
bellied|bellyless
bellyless|bellied
belt|fairly
below|above,above,upstairs
along|linger
up|open
belt|unbelt
belted|unbelted
beltless|belted
bemire|clean
bend|unbend,straighten
beneath|above
beneficed|unbeneficed
beneficence|maleficence
beneficent|maleficent
benevolence|malevolence
benevolently|malevolently
benign|malign,malignant
benignancy|malignancy,malignity
benignant|malign
benignity|malignancy,malignity
bequeath|disinherit
beseeching|imperative
beshrew|bless
best|worst
bestride|hop
betray|undeceive
better|worse,worsen
bettering|worsening
control|in
biaural|monaural
bibbed|bibless
bibless|bibbed
bicameral|unicameral
bidirectional|unidirectional
biennial|annual,perennial
big|small,little,small
bigness|littleness,smallness
symmetrical|actinomorphic
bilaterally|unilaterally
bimodal|unimodal
binaural|monaural
binaurally|monaurally
bind|untie,unbind
binuclear|mononuclear,trinucleate
binucleate|mononuclear,trinucleate
binucleated|mononuclear,trinucleate
pollution|nonbiodegradable
biological|adoptive
biovular|identical
biped|quadruped,quadrupedal
bipedal|quadruped,quadrupedal
bipolar|unipolar
birth|death
bisexual|heterosexual,homosexual
bivalent|multivalent,univalent
bivalve|univalve
bivalved|univalve
out|keep
blab|keep
white|color
black|white,whiten
black-and-white|color
blacken|whiten
blackness|white
blame|absolve
blandish|disparage
out|remember
blear|focus
blemished|unblemished
blended|unblended
bless|desecrate,curse
blessed|cursed
blessing|disapproval
blest|cursed
blind|sighted
blithely|unhappily
blitheness|cheerlessness
block|remember,unblock,unfreeze,free,unstuff
blond|brunet
blonde|brunet
brother|sister
kinship|affinity
bloodily|bloodlessly
bloodless|bloody
bloodlessly|bloodily
bloody|bloodless
out|ignite
up|reduce,deflate
blow|conserve
blubber|leanness
blue-collar|white-collar
file|taper
blunt|enliven,sharpen
bluntness|sharpness
blur|focus
blurriness|distinctness,sharpness
board|get
school|day
boarding|disembarkation
bodied|unbodied
font|old
bodoni|old
boil|freeze
bold|timid
boldness|timidity
bolt|unbolt
bomb|pass
boneless|bony
boney|boneless
bony|boneless
boo|applaud
bordered|unbordered
bore|interest
born|unborn
borrow|lend
borrower|lender
botany|fauna
bottle-fed|breast-fed
bottlefeed|breastfeed
bottle-feed|bottlefeed
inning|top
out|top
bottom|side,top,top
bottomed|bottomless
bottomless|bottomed
bottom-up|top-down
back|get
bounce|clear
bound|unbound,free
interval|open
boundedness|infiniteness
boundlessness|finiteness
bowed|plucked
box|unbox
boy|female
boycott|patronise,patronize
brace|de-energise,de-energize,sedate
brachycephalic|dolichocephalic
brachycranial|dolichocephalic
brachycranic|dolichocephalic
bracteate|ebracteate
bracted|ebracteate
braid|unbraid
brainwashed|unbrainwashed
out|specialise,specialize
branchiate|abranchiate
branchless|branchy
branchy|branchless
branded|unbranded
drug|generic
brave|cowardly,timid
braveness|cowardice
bravery|cowardice,fear
breach|keep
apart|assemble,unify
down|synthesize
even|lose,profit
day|sunset
day|sunset
up|assemble
break|repair,promote,make,keep,conform
breakable|unbreakable
breakableness|unbreakableness
breasted|breastless
breast-fed|bottle-fed
breastfeed|bottlefeed
breastless|breasted
in|exhale
out|inhale
breathing|breathless
breathless|breathing
bridgeable|unbridgeable
bridle|unbridle
bright|dull,dimmed
brighten|darken,overcast
brightness|dullness
brine|fresh
around|anesthetize
back|anesthetize
down|raise
forward|back
bacon|fail
off|fail
round|anesthetize
to|anesthetize
together|disjoin
up|lower
bring|take
broad|narrow
broaden|specialise,specialize
broadening|narrowing
speaking|narrowly
broadly|narrowly
broad-minded|narrow-minded,shockable
broad-mindedly|narrow-mindedly
broad-mindedness|narrow-mindedness
broadness|narrowness
broadnosed|catarrhine,leptorrhine
broken|unbroken
brother|sister
brotherlike|sisterly
brotherly|sisterly
brunet|blond
brunette|blond
along|linger
buckle|unbuckle
up|disarm
bulging|concave
bulk|minority
bull|bear
bump|promote
bumpy|smooth
up|weigh
burden|unburden
burdened|unburdened
buried|unburied
burned|unburned
burnt|unburned
burst|implode
burthen|unburden
bury|remember
bushel|break
bust|repair
busy|idle
then|on
butterball|thin
up|open
button|unbutton
buttoned|unbuttoned
at|boycott
farm|be
buy|sell
means|by
means|naturally
chance|deliberately
choice|accidentally,unintentionally
design|accidentally,unintentionally
hand|by
machine|by
means|by
error|theoretically
cacodaemon|eudemon
cacodemon|eudemon
cacogenic|eugenic
cacogenics|eugenics
cacophonic|euphonious
cacophonous|euphonious
caducous|persistent
caenogenesis|palingenesis
cainogenesis|palingenesis
calced|discalced
calcicolous|calcifugous
calcifugous|calcicolous
calcify|decalcify
calculable|incalculable
back|forget
for|obviate
option|put
up|demobilize,forget
call|put
down|agitate
calm|stormy,discomposure,agitate,stimulate
calmness|discomposure,agitation
caloric|nonthermal
camphorated|uncamphorated
campylotropous|orthotropous
can|hire
cancelled|on
candor|unfairness
candour|unfairness
along|linger
capability|incapableness,incapability,incapability
capable|incapable
capableness|incapability,incapableness,incapability
capably|incompetently
capacity|incapacity
letter|lowercase
capital|lowercase
capitalism|socialism
economy|socialism
capitalist|socialistic
capitalistic|socialistic
captor|liberator
capturer|liberator
cared-for|uncared-for
careful|careless
carefully|carelessly,incautiously
carefulness|carelessness,incaution
careless|careful
carelessly|carefully,cautiously
carelessness|carefulness
bird|ratite
carinate|ratite
carnivorous|herbivorous,omnivorous,insectivorous
carpellate|acarpelous
carpeted|uncarpeted
away|bring
off|fail,bring
on|discontinue
term|miscarry
up|unite
carved|uncarved
carvel-built|clinker-built
carven|uncarved
account|margin
basis|accrual
chips|be
cash|credit
down|elate
off|cast
on|cast
cast|keep
castrated|uncastrated
cat|keep
catabatic|anabatic
catabolic|anabolic
catabolism|anabolism
cataclinal|anaclinal
catadromous|diadromous,anadromous
catalectic|hypercatalectic,acatalectic
catalyst|anticatalyst
cataphatism|apophatism,doctrine
catarrhine|leptorrhine,platyrrhine
catarrhinian|leptorrhine,platyrrhine
z's|wake
catch|unhitch
categorem|syncategoreme,syncategorem
categorematic|syncategorematic
categoreme|syncategoreme,syncategorem
cathode|anode
cathodic|anodic
cationic|anionic
caudal|cephalic
caudate|acaudate
caudated|acaudate
caulescent|acaulescent
cauline|acaulescent,radical
caulked|uncaulked
causative|noncausative
sleep|awaken
caution|incaution
cautious|incautious,brave
cautiously|carelessly,incautiously
cautiousness|incaution
cease|continue,begin
ceilinged|floored
celebrity|infamy
cellular|noncellular
cenobite|eremite
cenobitic|eremitic
cenobitical|eremitic
cenogenesis|palingenesis
cenogenetic|palingenetic
censored|uncensored
center|right,left
central|peripheral
centralisation|decentralization
centralise|deconcentrate,decentralise,decentralize
centralised|decentralized
centralising|decentralizing
centrality|marginality
centralization|decentralization
centralize|deconcentrate,decentralise,decentralize
centralized|decentralized
centralizing|decentralizing
centrally|peripherally
force|centripetal
centrifugal|centripetal
force|centrifugal
centripetal|centrifugal
cephalic|caudal
cerebral|emotional
ceremonially|unceremoniously
ceremoniously|unceremoniously
ceremoniousness|unceremoniousness
certain|uncertain,unsealed,unsure,uncertain
certainty|uncertainty
certification|disenfranchisement
certified|uncertified
certify|decertify
chain|unchain
change|stay
changeability|changelessness
changeable|unchangeable,immutable
changeableness|changelessness
changed|unchanged
changeful|unchangeable
changefulness|constancy
changeless|mutable
changelessness|changeableness
chapelgoer|Anglican
characteristic|uncharacteristic
characteristically|uncharacteristically
up|calm
charge|calm,discharge,pay
charged|uncharged
chariness|unwariness
charitable|uncharitable
chartered|unchartered
chaste|unchaste
cheap|expensive
cheaply|expensively
in|check
out|check
check|disagree
up|complain
cheer|uncheerfulness,complain,dishearten
cheerful|cheerless
cheerfully|cheerlessly
cheerfulness|cheerlessness,uncheerfulness
cheerless|cheerful
cheerlessly|cheerfully
cheerlessness|cheerfulness
child|parent
chill|heat
up|complain
chivalrously|unchivalrously
chlamydeous|achlamydeous
off|unclog
up|unstuff
choke|unclog,be
cholinergic|anticholinergic
chondritic|achondritic
chop-chop|slowly
christian|unchristian
color|achromatic
colour|achromatic
chromatic|diatonic
chromatinic|achromatinic
chronic|acute
chronically|acutely
sponge|enter
chuck|keep
cipher|decode
circular|square
evidence|direct
circumstantially|deliberately
cisc|RISC,reduced
cismontane|tramontane
citizen|noncitizen
law|international
civil|uncivil,sidereal
civilian|military,serviceman
civilised|noncivilized
civility|incivility
civilized|noncivilized
civilly|uncivilly
clabber|homogenise,homogenize,homogenise
clad|unclothed
claim|disclaim,forfeit
up|open
clap|boo
clarify|obfuscate
clarity|opacity,unclearness,obscurity
clasp|unbuckle,unclasp
classical|nonclassical
classicalism|Romanticism
classicism|Romanticism
classicist|romanticist
classification|declassification
classified|unclassified
classify|declassify
clayey|arenaceous
clean|dirty,unfairly,unclean
clean-handed|guilty
cleanliness|uncleanliness
cleanness|dirtiness
up|obfuscate,overcast
clear|ill-defined,cloudy,convict,bounce,overcast,unclear,clutter,opaque
cleared|uncleared
clearheaded|confused
clearly|unintelligibly
clearness|unclearness,obscurity,opacity
clear-thinking|confused
clement|inclement
clergy|laity
clergyman|layman
clifflike|beachy
cliffy|beachy
climactic|anticlimactic
on|hop
climb|descent,wane
clincher-built|carvel-built
clinker-built|carvel-built
clip|unclip
in|punch
off|punch
on|punch
out|punch
rotation|levorotation
clockwise|counterclockwise
up|unclog
clog|unclog
down|open
up|open
close|distant,open,open,distant,far
chain|open
circuit|open
interval|open
closed|open
closeness|farness,openness
closing|opening,opening
clot|homogenise,homogenize,homogenise
clothe|undress
clothed|unclothed
cloud|clear
cloudy|clear
clumsiness|gracefulness
up|unclutter
clutter|unclutter
coalition|nonalignment
coarse|fine
coarsely|finely
coastal|inland
coated|uncoated
cockcrow|sunset
code|decode
dna|intron
coenobite|eremite
coenobitic|eremitic
coenobitical|eremitic
cognation|affinity
cognisable|unknowable
cognisance|incognizance
cognisant|unaware
cognise|ignore
cognizable|unknowable
cognizance|incognizance
cognizant|unaware
cognize|ignore
cognoscible|unknowable
coherence|incoherence
coherency|incoherence
coherent|incoherent
coherently|incoherently
cohesion|incoherence
cohesiveness|incoherence
coil|uncoil
coiled|uncoiled
war|hot
cold|hot,hotness
cold-blooded|warm-blooded
coldhearted|warmhearted
coldness|hotness
collapsable|noncollapsible
collapsible|noncollapsible
collateral|lineal
collect|spread
collected|ungathered,uncollected
collective|distributive
with|miss
colligate|dissociate
colly|clean
colonise|decolonise,decolonize
colonize|decolonise,decolonize
in|discolor
color|black-and-white,discolor,colorlessness
colored|uncolored
colorful|uncolored,colorless,colourless,colorless
coloring|colorlessness
colorise|discolor
colorize|discolor
colorless|colourful,colorful,colorful
colorlessness|color
in|discolor
colour|black-and-white,discolor,colorlessness
coloured|uncolored
colourful|colourless,colorless,colorless
colouring|colorlessness
colourise|discolor
colourize|discolor
colourless|colourful,colorful,colorful
colourlessness|color
columned|noncolumned
combed|uncombed
combinative|noncombinative
combinatory|noncombinative
combined|uncombined
combustible|noncombustible
after|precede
alive|fall
along|disappear,regress
away|attach
before|succeed
down|rise,ascend
in|go
off|attach
on|go
through|fail,succumb
up|set,go,go
come|leave,go
comedy|tragedy
comestible|inedible
comfort|discomfort
comfortable|uncomfortable
comfortableness|discomfort
comfortably|uncomfortably
comfy|uncomfortable
commence|end
commencement|middle,end,finish
commendation|disapproval
commensurate|incommensurate
commercial|noncommercial
commissioned|noncommissioned
commit|divest
committed|unattached,uncommitted
commodious|incommodious
noun|proper
common|uncommon,individual
commonality|individuality
commonly|remarkably
commonness|individuality,uncommonness
commonplaceness|uncommonness
commove|calm
communicate|excommunicate
communicative|uncommunicative
communicativeness|uncommunicativeness
communicatory|uncommunicative
communisation|denationalization
communization|denationalization
commutable|incommutable
compact|loose,decompress
compactness|distribution
comparable|incomparable
comparably|incomparably
compartmented|uncompartmented
compassionate|uncompassionate
compatibility|incompatibility
compatible|incompatible
compatibly|incompatibly
compensate|wrong
competence|incompetence
competency|incompetence
competent|incompetent
competently|incompetently
competition|cooperation
competitive|noncompetitive
competitively|noncompetitively
competitory|noncompetitive
complain|cheer
complainant|defendant
complaining|uncomplaining
complainingly|uncomplainingly
complaintive|uncomplaining
complete|incomplete
